month,calls_answered,svc_level_answered_w_i_60_sec,avg_speed_answer_sec,transferred_calls
2007-04-01T00:00:00,91892,0.688,,
2007-05-01T00:00:00,111137,0.753,,
2007-06-01T00:00:00,141639,0.861,,
2007-07-01T00:00:00,160996,0.918,12,
2007-08-01T00:00:00,173047,0.907,14,
2007-09-01T00:00:00,175737,0.796,18,
2007-10-01T00:00:00,209998,0.84,14,
2007-11-01T00:00:00,215748,0.884,10,
2007-12-01T00:00:00,231879,0.85,13,
2008-01-01T00:00:00,247503,0.75,23,
2008-02-01T00:00:00,248027,0.695,29,
2008-03-01T00:00:00,242789,0.549,47,
2008-04-01T00:00:00,250749,0.55,48,
2008-05-01T00:00:00,277562,0.613,41,
2008-06-01T00:00:00,272756,0.588,44,
2008-07-01T00:00:00,293598,0.669,34,0.014
2008-08-01T00:00:00,311183,0.643,37,0.012
2008-09-01T00:00:00,282590,0.508,55,0.012
2008-10-01T00:00:00,280100,0.579,48,0.015
2008-11-01T00:00:00,269631,0.737,28,0.012
2008-12-01T00:00:00,287992,0.761,25,0.013
2009-01-01T00:00:00,300802,0.801,19,0.012
2009-02-01T00:00:00,277695,0.789,21,0.011
2009-03-01T00:00:00,295455,0.759,24,0.013
2009-04-01T00:00:00,287364,0.776,22,0.012
2009-05-01T00:00:00,275526,0.811,20,0.012
2009-06-01T00:00:00,252511,0.758,26,0.014
2009-07-01T00:00:00,232628,0.712,32,0.02
2009-08-01T00:00:00,238607,0.693,34,0.017
2009-09-01T00:00:00,245370,0.691,34,0.016
2009-10-01T00:00:00,225413,0.531,59,0.022
2009-11-01T00:00:00,218179,0.666,38,0.019
2009-12-01T00:00:00,240583,0.774,25,0.018
2010-01-01T00:00:00,249735,0.839,17,0.016
2010-02-01T00:00:00,220417,0.745,27,0.019
2010-03-01T00:00:00,228119,0.829,18,0.022
2010-04-01T00:00:00,217776,0.834,18,0.022
2010-05-01T00:00:00,224528,0.724,31,0.022
2010-06-01T00:00:00,204547,0.776,26,0.026
2010-07-01T00:00:00,187189,0.726,31,0.029
2010-08-01T00:00:00,186327,0.662,41,0.031
2010-09-01T00:00:00,168948,0.586,54,0.032
2010-10-01T00:00:00,178612,0.7,37,0.032
2010-11-01T00:00:00,164937,0.731,31,0.032
2010-12-01T00:00:00,185076,0.839,17,0.027
2011-01-01T00:00:00,205797,0.86,14,0.027
2011-02-01T00:00:00,192744,0.814,18,0.026
2011-03-01T00:00:00,214265,0.843,16,0.026
2011-04-01T00:00:00,218046,0.791,21,0.026
2011-05-01T00:00:00,213989,0.732,28,0.026
2011-06-01T00:00:00,196064,0.664,38,0.029
2011-07-01T00:00:00,185664,0.675,37,0.029
2011-08-01T00:00:00,191730,0.701,33,0.032
2011-09-01T00:00:00,181669,0.722,32,0.035
2011-10-01T00:00:00,181815,0.709,34,0.039
2011-11-01T00:00:00,170315,0.806,21,0.036
2011-12-01T00:00:00,181294,0.8,21,0.032
2012-01-01T00:00:00,184228,0.766,25,0.034
2012-02-01T00:00:00,165053,0.718,31,0.034
2012-03-01T00:00:00,166171,0.73,30,0.035
2012-04-01T00:00:00,156245,0.738,29,0.038
2012-05-01T00:00:00,148285,0.735,33,0.041
2012-06-01T00:00:00,138571,0.775,28,0.044
2012-07-01T00:00:00,136980,0.75,30,0.049
2012-08-01T00:00:00,127378,0.692,39,0.051
2012-09-01T00:00:00,118191,0.671,42,0.051
2012-10-01T00:00:00,122768,0.613,52,0.055
2012-11-01T00:00:00,114922,0.766,28,0.052
2012-12-01T00:00:00,120220,0.718,36,0.045
2013-01-01T00:00:00,131558,0.814,21,0.046
2013-02-01T00:00:00,120020,0.771,27,0.046
2013-03-01T00:00:00,125825,0.819,21,0.05
2013-04-01T00:00:00,122734,0.702,40,0.05
2013-05-01T00:00:00,124333,0.604,54,0.05
2013-06-01T00:00:00,117349,0.67,42,0.054
2013-07-01T00:00:00,116029,0.564,67,0.06
2013-08-01T00:00:00,121104,0.757,28,0.061
2013-09-01T00:00:00,121604,0.798,23,0.057
2013-10-01T00:00:00,126056,0.742,31,0.055
2013-11-01T00:00:00,113133,0.777,28,0.054
2013-12-01T00:00:00,113750,0.773,28,0.053
2014-01-01T00:00:00,121394,0.856,16,0.052
2014-02-01T00:00:00,100580,0.619,59,0.055
2014-03-01T00:00:00,110136,0.673,42,0.063
2014-04-01T00:00:00,103566,0.483,107,0.062
2014-05-01T00:00:00,107497,0.501,103,0.059
2014-06-01T00:00:00,102033,0.61,65,0.071
2014-07-01T00:00:00,94203,0.535,81,0.076
2014-08-01T00:00:00,94395,0.652,56,0.078
2014-09-01T00:00:00,96923,0.679,49,0.09
2014-10-01T00:00:00,104600,0.671,49,0.092
2014-11-01T00:00:00,92950,0.762,33,0.083
2014-12-01T00:00:00,98471,0.664,54,0.084
2015-01-01T00:00:00,95264,0.562,78,0.086
2015-02-01T00:00:00,83668,0.331,191,0.08
2015-03-01T00:00:00,89074,0.373,153,0.09
2015-04-01T00:00:00,84685,0.384,156,0.087
2015-05-01T00:00:00,75324,0.569,188,0.124
2015-05-01T00:00:00,80836,0.326,215,0.084
2015-06-01T00:00:00,74064,0.291,217,0.087
2015-07-01T00:00:00,77644,0.339,214,0.078
2015-08-01T00:00:00,73027,0.326,217,0.096
2015-09-01T00:00:00,74445,0.411,124,0.089
2015-10-01T00:00:00,73047,0.323,191,0.091
2015-11-01T00:00:00,70038,0.438,149,0.086
2015-12-01T00:00:00,71042,0.437,138,0.083
2016-01-01T00:00:00,78059,0.467,140,0.089
2016-02-01T00:00:00,68355,0.39,194,0.104
2016-03-01T00:00:00,72182,0.477,119,0.112
2016-04-01T00:00:00,73083,0.589,154,0.118
2016-05-01T00:00:00,75324,0.569,188,0.124
2016-06-01T00:00:00,77887,0.614,131,0.121
2016-07-01T00:00:00,75454,0.566,117,0.107
2016-08-01T00:00:00,87389,0.575,124,0.216
2016-09-01T00:00:00,81765,0.608,82,0.098
2016-10-01T00:00:00,80919,0.6,78,0.11
2016-11-01T00:00:00,74029,0.688,52,0.103
2016-12-01T00:00:00,76264,0.72,48,0.104
2017-01-01T00:00:00,88607,0.722,38,0.084
2017-02-01T00:00:00,73473,0.692,59,0.099
2017-03-01T00:00:00,79410,0.741,37,0.119
2017-04-01T00:00:00,73427,0.727,55,0.08
2017-05-01T00:00:00,76847,0.601,108,0.081
2017-06-01T00:00:00,75870,0.708,59,0.081
2017-07-01T00:00:00,76892,0.738,54,0.082
2017-08-01T00:00:00,75949,0.606,88,0.078
2017-09-01T00:00:00,68468,0.515,127,0.078
2017-10-01T00:00:00,72996,0.576,102,0.098
2017-11-01T00:00:00,72053,0.779,46,0.091
